"pid","player_name","pname"
203507,"Giannis Antetokounmpo","GiannisAntetokounmpo"
1627763,"Malcolm Brogdon","MalcolmBrogdon"
203521,"Matthew Dellavedova","MatthewDellavedova"
203503,"Tony Snell","TonySnell"
202328,"Greg Monroe","GregMonroe"
203089,"John Henson","JohnHenson"
203141,"Mirza Teletovic","MirzaTeletovic"
1891,"Jason Terry","JasonTerry"
203114,"Khris Middleton","KhrisMiddleton"
1627748,"Thon Maker","ThonMaker"
1626173,"Rashad Vaughn","RashadVaughn"
201150,"Spencer Hawes","SpencerHawes"
203093,"Terrence Jones","TerrenceJones"
1626253,"Axel Toupane","AxelToupane"
201563,"Michael Beasley","MichaelBeasley"
203953,"Jabari Parker","JabariParker"
203101,"Miles Plumlee","MilesPlumlee"
200779,"Steve Novak","SteveNovak"
